date,sade sandoq,salane sandoq,sade bazar,salane bazar
1398/11/12,0.16,82.17,0%,-55.80%
1398/11/11,0,-1.8,,
1398/11/10,0,-1.8,,
1398/11/09,0,-1.43,,
1398/11/08,1.61,33705.05,2%,26201%
1398/11/07,0.18,95.28,1%,676.40%
1398/11/06,-0.25,-60.38,0%,214%
1398/11/05,0.87,2260.04,1%,16365%
1398/11/04,0,-1.77,,
1398/11/03,0,-1.38,,
1398/11/02,1.04,4241.2,1%,10331%
1398/11/01,-0.62,-89.73,-1%,-97%
1398/10/30,-0.65,-90.7,0%,-60%
1398/10/29,0.08,32.37,0%,119%
1398/10/28,2.54,946227.91,3%,1317182%
1398/10/27,0,-1.73,,
1398/10/26,0,-1.73,,
1398/10/25,0.82,1875.41,1%,2460%
1398/10/24,1.9,95523.47,1%,3521%
1398/10/23,5.1,7730132927,4%,587374611%
1398/10/22,3.76,70226426.69,4.40%,676723844%
1398/10/21,2.78,2191695.29,1.70%,46208%
1398/10/20,0,-1.68,,
1398/10/19,-0.02,-5.61,,
1398/10/18,-2.6,-99.99,-1.40%,-99%
1398/10/17,-1.53,-99.64,-2%,-100%
1398/10/16,0,-1.62,,
1398/10/15,-1.25,-98.98,0%,-78%
1398/10/14,-4.65,-100,-6%,-100%
1398/10/13,-0.01,-1.82,,
1398/10/12,0,-1.51,,
1398/10/11,2.68,1540472.19,2%,89477%
1398/10/10,1.19,7350.86,0%,314%
1398/10/09,2.12,210864.7,2%,29750%
1398/10/08,1.1,5337.64,1%,698%
1398/10/07,2.44,672000.97,2%,70202%
1398/10/06,-0.01,-1.87,,
1398/10/05,0,-1.72,,
1398/10/04,-0.86,-95.72,0%,-69%
1398/10/03,1.22,8189.07,1%,1768%
1398/10/02,1.56,28295.2,1%,1382%
1398/10/01,1.21,7932.96,1%,1542%
1398/09/30,0.23,134.52,1%,4406%
1398/09/29,0,-1.71,,
1398/09/28,0,-1.61,,
1398/09/27,0.3,195.56,1%,3613.40%
1398/09/26,1.18,7067.78,1%,1138%
1398/09/25,0.39,309.28,0%,48%
1398/09/24,0.05,19.96,,
1398/09/23,1.93,106299.41,1%,6410%
1398/09/22,0,-1.72,,
1398/09/21,0,-1.34,,
1398/09/20,0.26,154,0%,-5%
1398/09/19,2.16,243101.16,1%,5032%
1398/09/18,1.83,73561.65,1%,3285%
1398/09/17,2.54,948247.04,2%,23535%
1398/09/16,2.18,265560.61,2%,30472%
1398/09/15,0,-1.5,,
1398/09/14,0,-1.12,,
1398/09/13,0.29,185.26,1%,599%
1398/09/12,-0.11,-34.12,0%,103%
1398/09/11,0.57,695.67,0%,470.70%
1398/09/10,1.34,12961.96,1.30%,10965%
1398/09/09,0.76,1507.78,1%,4924.10%
1398/09/08,0,-1.49,,
1398/09/07,0,-1.49,,
1398/09/06,0.33,238.66,1%,546%
1398/09/05,0.31,205.35,0%,296%
1398/09/04,0.47,453.3,1%,2384%
1398/09/03,-0.1,-29.53,0%,20%
1398/09/02,-0.26,-61.27,0%,111%
1398/09/01,0,-1.4,,
1398/08/30,-0.12,-35.16,,
1398/08/29,0.13,61.21,0.10%,45%
1398/08/28,0.84,2008.26,1%,957%
1398/08/27,0.04,16.09,0%,59%
1398/08/26,-1.92,-99.92,-1%,-100%
1398/08/25,-0.37,-74.01,0%,-22%
1398/08/24,0,-1.45,,
1398/08/23,0,-1.45,,
1398/08/22,-0.08,-24.7,0%,69%
1398/08/21,0.99,3537.12,1%,2457%
1398/08/20,0.88,2352.4,0%,299%
1398/08/19,-1.43,-99.47,-1%,-97%
1398/08/18,-0.15,-43.14,0%,87%
1398/08/17,0,-1.49,,
1398/08/16,0,-1.49,,
1398/08/15,0,-0.76,,
1398/08/14,0.26,155.71,0%,120%
1398/08/13,-1.45,-99.52,-1%,-99%
1398/08/12,0.02,6.3,0%,31%
1398/08/11,-0.43,-78.89,-0.30%,-67%
1398/08/10,0,-1.41,,
1398/08/09,0,-0.42,,
1398/08/08,1.53,25169.76,1%,7862%
1398/08/07,0,-1.06,,
1398/08/06,1.29,10626.58,1%,1947%
1398/08/05,0,-1.22,,
1398/08/04,-0.06,-19.94,-1%,-94%
1398/08/03,0,-1.31,,
1398/08/02,0,-1.31,,
1398/08/01,-0.69,-91.97,-1%,-95%
1398/07/30,2.19,270083.25,2%,154665%
1398/07/29,0.39,307.36,0%,158%
1398/07/28,-3.35,-100,-3%,-100%
1398/07/27,0,-1.46,,
1398/07/26,0,-1.47,,
1398/07/25,0,-1.41,,
1398/07/24,-0.37,-74.6,0%,118%
1398/07/23,-3.64,-100,-3%,-100%
1398/07/22,-1.72,-99.82,-2%,-100%
1398/07/21,1.92,103716.39,1%,10379%
1398/07/20,3.71,59944225.49,3%,3150023%
1398/07/19,0,-1.56,,
1398/07/18,0,-1.52,,
1398/07/17,-0.37,-74.42,0%,-81%
1398/07/16,-2,-99.94,-2%,-100%
1398/07/15,0.18,95.23,0%,122%
1398/07/14,-2.97,-100,-2%,-100%
1398/07/13,-0.4,-76.74,0%,277%
1398/07/12,0,-1.57,,
1398/07/11,0,-0.55,,
1398/07/10,-1.57,-99.69,0%,2%
1398/07/09,-0.04,-12.84,0%,377%
1398/07/08,1.75,55709.1,2%,152376%
1398/07/07,-1.26,-99.04,-1%,-87%
1398/07/06,1.17,6837.07,2%,63834%
1398/07/05,0,-1.54,,
1398/07/04,0.01,3.32,,
1398/07/03,1,3663.3,1%,1201%
1398/07/02,0.4,331.22,0%,136%
1398/07/01,3.89,112938517.4,3.10%,6929254.30%
1398/06/31,1.74,53470.45,1%,20842%
1398/06/30,0.97,3273.9,1%,7831%
1398/06/29,0,-1.17,,
1398/06/28,0,-0.72,,
1398/06/27,-2.55,-99.99,-3%,-100%
1398/06/26,-0.99,-97.35,-1%,-99%
1398/06/25,1.32,11933.84,1%,6744%
1398/06/24,-0.67,-91.32,-1%,-92%
1398/06/23,2.54,933183.85,2%,23664%
1398/06/22,0,-1.13,,
1398/06/21,0,-0.76,,
1398/06/20,1.65,39265.66,1%,4910%
1398/06/19,0,-1.12,,
1398/06/18,0,-0.99,,
1398/06/17,-0.3,-66.79,1%,1287%
1398/06/16,1.46,20059.98,2%,24898%
1398/06/15,0,-1.18,,
1398/06/14,0,-1.18,,
1398/06/13,1.55,27690.38,2%,34237%
1398/06/12,1.47,20502.34,1%,2411.70%
1398/06/11,-2.09,-99.96,-1%,-98%
1398/06/10,-0.45,-80.91,0.70%,1154%
1398/06/09,1.48,21282.68,2%,119643%
1398/06/08,0,-1.22,,
1398/06/07,0,-0.66,,
1398/06/06,0.31,209.38,0%,31%
1398/06/05,1.42,16890.36,1%,11419.70%
1398/06/04,3.15,8164736.21,2.10%,194994%
1398/06/03,1.01,3844.86,0%,-64.30%
1398/06/02,1.06,4591.34,1%,19043%
1398/06/01,-0.01,-1.92,,
1398/05/31,0,-1.02,,
1398/05/30,1.15,6492.98,1%,8015%
1398/05/29,0,-0.89,,
