Country,Natural gas - production (barrel/day),Country,Natural gas - consumption (barrel/day),Country,Natural gas - exports (bbl/day),Country,Natural gas - imports (bbl/day),Country,Natural gas - proved reserves (bbl)
United States,"12,454,472",United States,"12,370,668",Russia,"3,387,591",Germany,"1,925,866",Russia,"281,176,468,588"
Russia,"10,726,833",Russia,"7,534,247",Qatar,"2,038,679",Japan,"1,879,130",Iran,"198,352,941,490"
Iran,"3,456,890",China,"3,845,286",Norway,"1,937,148",China,"1,573,409",Qatar,"141,588,230,385"
Qatar,"2,681,708",Iran,"3,334,408",United States,"1,445,608",United States,"1,388,396",United States,"84,033,613,445"
Canada,"2,564,061",Japan,"2,049,960",Canada,"1,353,102",Italy,"1,122,643",Saudi Arabia,"50,700,000,413"
China,"2,351,329",Canada,"2,004,835",Australia,"1,095,246",Turkey,"888,477",Turkmenistan,"44,141,176,037"
Norway,"1,996,777",Saudi Arabia,"1,761,483",Algeria,"868,332",Netherlands,"821,918",United Arab Emirates,"35,829,413,237"
Saudi Arabia,"1,761,483",Germany,"1,504,593",Netherlands,"825,947",Mexico,"807,736",Venezuela,"33,758,824,135"
Australia,"1,695,407",Mexico,"1,315,230",Malaysia,"616,116","Korea, South","784,045",Nigeria,"32,205,883,079"
Algeria,"1,506,849",United Kingdom,"1,275,907",Turkmenistan,"614,666",France,"783,078",China,"32,000,001,349"
Turkmenistan,"1,248,187",Italy,"1,211,120",Germany,"557,776",United Kingdom,"757,454",Algeria,"26,494,116,900"
Indonesia,"1,161,805",United Arab Emirates,"1,200,322",Indonesia,"479,936",Spain,"558,098",Iraq,"22,470,588,922"
Malaysia,"1,119,903",Egypt,"930,056",Nigeria,"438,517",Canada,"424,819",Indonesia,"16,858,822,969"
United Arab Emirates,"999,355",India,"893,312",Trinidad and Tobago,"249,637",India,"386,140",Mozambique,"16,658,824,059"
Uzbekistan,"839,645",Turkey,"863,820",Bolivia,"249,154",Taiwan,"356,809",Kazakhstan,"14,158,823,038"
Egypt,"819,662",Thailand,"848,348",Burma,"226,753",United Arab Emirates,"325,866",Egypt,"12,858,823,186"
Netherlands,"730,540",Argentina,"790,330",Kazakhstan,"206,285",Belgium,"291,539",Canada,"12,094,117,527"
Nigeria,"716,841","Korea, South","729,734",Iran,"187,591",Belarus,"282,514",Australia,"11,700,000,214"
United Kingdom,"678,646",Australia,"729,251",United Kingdom,"181,628",Russia,"254,150",Uzbekistan,"10,829,411,509"
Argentina,"659,468",Pakistan,"726,027",Oman,"179,855",Poland,"253,344",Kuwait,"10,494,117,768"
Pakistan,"629,331",Netherlands,"699,114",Papua New Guinea,"178,888",Thailand,"232,232",Norway,"10,482,352,899"
Thailand,"621,918",Uzbekistan,"694,118",Uzbekistan,"151,507",Austria,"225,947",Libya,"8,852,941,354"
Trinidad and Tobago,"591,942",Indonesia,"682,031",Brunei,"133,247",Singapore,"217,244",India,"7,588,235,336"
Mexico,"508,783",France,"674,940",Azerbaijan,"129,605",Hungary,"215,471",Malaysia,"6,958,823,737"
India,"508,300",Algeria,"665,270",United Arab Emirates,"120,935",Ukraine,"209,025",Ukraine,"6,494,117,984"
Oman,"503,304",Qatar,"643,030",France,"97,196",Brazil,"169,380",Azerbaijan,"5,830,000,062"
Bangladesh,"475,907",Turkmenistan,"633,521",East Timor,"93,086",Argentina,"158,356",Netherlands,"4,714,117,819"
Venezuela,"436,261",Brazil,"553,586",Peru,"88,719",Czech Republic,"143,288",Vietnam,"4,114,117,620"
Brazil,"386,140",Spain,"503,948",Austria,"87,623",Egypt,"114,085",Oman,"3,831,176,349"
Kazakhstan,"361,160",Ukraine,"498,308",Equatorial Guinea,"78,614",Portugal,"105,415",Burma,"3,747,647,247"
Ukraine,"317,969",Malaysia,"490,572",Libya,"74,843",Jordan,"104,045",Pakistan,"3,463,529,412"
Bolivia,"301,209",Bangladesh,"475,907",Mozambique,"67,075",Pakistan,"96,745",Yemen,"2,814,705,857"
Burma,"296,696",Venezuela,"390,169",Angola,"64,351",Australia,"93,086",Peru,"2,681,764,731"
Kuwait,"275,584",Taiwan,"361,805",Hungary,"56,728",Kazakhstan,"92,635",Trinidad and Tobago,"2,631,764,619"
Azerbaijan,"273,328",Oman,"353,586",China,"54,311",Kuwait,"82,595",Brazil,"2,220,000,003"
Bahrain,"256,084",Kuwait,"350,040",Spain,"46,543",Slovakia,"80,322",Argentina,"1,980,000,039"
Peru,"209,347",Trinidad and Tobago,"342,305",Denmark,"36,052",Greece,"80,322",Angola,"1,812,352,976"
Brunei,"205,318",Poland,"323,932",Jordan,"21,902",Chile,"71,652",Bolivia,"1,740,588,165"
Papua New Guinea,"180,177",Belarus,"285,254",Poland,"20,081",South Africa,"67,075",Mexico,"1,645,882,284"
Romania,"175,181",Belgium,"283,803",Belgium,"11,865",Iran,"64,351",Brunei,"1,532,352,922"
