Local time,Open,High,Low,Close,Volume
01.01.2012 01:30:00.000 GMT+0330,107.040,107.040,107.040,107.040,0
02.01.2012 01:30:00.000 GMT+0330,107.040,107.040,107.040,107.040,0
03.01.2012 01:30:00.000 GMT+0330,108.060,112.390,108.060,112.140,129924
04.01.2012 01:30:00.000 GMT+0330,112.140,113.910,111.260,113.560,148371
05.01.2012 01:30:00.000 GMT+0330,113.560,114.600,112.100,112.160,162369
06.01.2012 01:30:00.000 GMT+0330,112.160,113.650,112.030,113.430,142092
07.01.2012 01:30:00.000 GMT+0330,113.430,113.430,113.430,113.430,0
08.01.2012 01:30:00.000 GMT+0330,113.430,113.430,113.430,113.430,0
09.01.2012 01:30:00.000 GMT+0330,113.290,113.850,111.790,112.240,146466
10.01.2012 01:30:00.000 GMT+0330,112.310,113.960,112.210,113.210,145748
11.01.2012 01:30:00.000 GMT+0330,113.210,113.730,112.090,112.660,157201
12.01.2012 01:30:00.000 GMT+0330,112.660,115.080,110.290,111.170,140340
13.01.2012 01:30:00.000 GMT+0330,111.170,112.430,109.700,110.450,122689
14.01.2012 01:30:00.000 GMT+0330,110.450,110.450,110.450,110.450,0
15.01.2012 01:30:00.000 GMT+0330,110.450,110.450,110.450,110.450,0
16.01.2012 01:30:00.000 GMT+0330,110.570,111.570,110.380,111.320,153703
17.01.2012 01:30:00.000 GMT+0330,111.350,112.730,110.540,111.480,153385
18.01.2012 01:30:00.000 GMT+0330,111.490,112.170,111.180,111.840,84126
19.01.2012 01:30:00.000 GMT+0330,111.300,111.650,110.370,111.650,50936
20.01.2012 01:30:00.000 GMT+0330,111.650,112.060,109.420,110.090,90888
21.01.2012 01:30:00.000 GMT+0330,110.090,110.090,110.090,110.090,0
22.01.2012 01:30:00.000 GMT+0330,110.090,110.090,110.090,110.090,0
23.01.2012 01:30:00.000 GMT+0330,110.230,111.360,109.260,110.950,90167
24.01.2012 01:30:00.000 GMT+0330,110.950,111.110,109.700,110.170,76423
25.01.2012 01:30:00.000 GMT+0330,110.170,110.890,108.910,110.420,100923
26.01.2012 01:30:00.000 GMT+0330,110.453,111.890,110.270,111.010,105370
27.01.2012 01:30:00.000 GMT+0330,111.010,111.990,110.490,111.560,132582
28.01.2012 01:30:00.000 GMT+0330,111.560,111.560,111.560,111.560,0
29.01.2012 01:30:00.000 GMT+0330,111.560,111.560,111.560,111.560,0
30.01.2012 01:30:00.000 GMT+0330,111.320,111.780,110.250,110.950,120430
31.01.2012 01:30:00.000 GMT+0330,110.950,113.320,110.500,111.000,124572
01.02.2012 01:30:00.000 GMT+0330,111.000,112.810,110.980,111.740,134490
02.02.2012 01:30:00.000 GMT+0330,111.740,112.540,111.040,112.410,142274
03.02.2012 01:30:00.000 GMT+0330,112.410,114.680,111.930,114.680,137322
04.02.2012 01:30:00.000 GMT+0330,114.680,114.680,114.680,114.680,0
05.02.2012 01:30:00.000 GMT+0330,114.680,114.680,114.680,114.680,0
06.02.2012 01:30:00.000 GMT+0330,114.580,116.540,113.656,116.460,118403
07.02.2012 01:30:00.000 GMT+0330,116.460,117.500,115.610,116.150,146874
08.02.2012 01:30:00.000 GMT+0330,116.150,117.800,115.900,117.680,98007
09.02.2012 01:30:00.000 GMT+0330,117.680,118.770,117.280,118.730,78899
10.02.2012 01:30:00.000 GMT+0330,118.730,118.750,116.290,117.640,118913
11.02.2012 01:30:00.000 GMT+0330,117.640,117.640,117.640,117.640,0
12.02.2012 01:30:00.000 GMT+0330,117.640,117.640,117.640,117.640,0
13.02.2012 01:30:00.000 GMT+0330,117.610,118.610,117.350,117.530,83008
14.02.2012 01:30:00.000 GMT+0330,117.530,118.280,116.640,117.770,59485
15.02.2012 01:30:00.000 GMT+0330,117.770,119.850,117.380,119.090,75706
16.02.2012 01:30:00.000 GMT+0330,119.090,120.350,118.290,120.070,70604
17.02.2012 01:30:00.000 GMT+0330,120.070,120.660,118.830,119.710,70400
18.02.2012 01:30:00.000 GMT+0330,119.710,119.710,119.710,119.710,0
19.02.2012 01:30:00.000 GMT+0330,119.710,119.710,119.710,119.710,0
20.02.2012 01:30:00.000 GMT+0330,119.980,121.120,119.780,119.870,70724
21.02.2012 01:30:00.000 GMT+0330,119.870,121.860,119.180,121.010,56552
22.02.2012 01:30:00.000 GMT+0330,121.010,123.200,120.980,122.620,66315
23.02.2012 01:30:00.000 GMT+0330,122.620,124.460,122.080,124.180,75341
24.02.2012 01:30:00.000 GMT+0330,124.170,125.520,123.280,125.270,72263
25.02.2012 01:30:00.000 GMT+0330,125.270,125.270,125.270,125.270,0
26.02.2012 01:30:00.000 GMT+0330,125.270,125.270,125.270,125.270,0
27.02.2012 01:30:00.000 GMT+0330,125.200,125.480,123.030,123.170,82791
28.02.2012 01:30:00.000 GMT+0330,123.180,123.920,121.480,121.710,72424
29.02.2012 01:30:00.000 GMT+0330,121.710,123.160,120.490,122.840,78013
01.03.2012 01:30:00.000 GMT+0330,122.840,128.350,122.480,126.120,77123
02.03.2012 01:30:00.000 GMT+0330,126.130,126.160,123.110,123.560,66107
03.03.2012 01:30:00.000 GMT+0330,123.560,123.560,123.560,123.560,0
04.03.2012 01:30:00.000 GMT+0330,123.560,123.560,123.560,123.560,0
05.03.2012 01:30:00.000 GMT+0330,123.320,124.630,122.680,124.120,77446
06.03.2012 01:30:00.000 GMT+0330,124.120,124.320,121.570,122.310,70117
07.03.2012 01:30:00.000 GMT+0330,122.310,124.420,121.960,124.270,70117
08.03.2012 01:30:00.000 GMT+0330,124.270,126.290,123.760,125.350,84777
09.03.2012 01:30:00.000 GMT+0330,125.350,126.340,124.670,125.890,74735
10.03.2012 01:30:00.000 GMT+0330,125.890,125.890,125.890,125.890,0
11.03.2012 01:30:00.000 GMT+0330,125.890,125.890,125.890,125.890,0
12.03.2012 00:30:00.000 GMT+0330,125.680,125.820,124.180,125.430,72508
13.03.2012 00:30:00.000 GMT+0330,125.430,126.760,124.980,126.320,79671
14.03.2012 00:30:00.000 GMT+0330,126.320,126.640,124.610,125.130,61578
