Local time,Date,Open,High,Low,Close,Volume
03.11.2014 01:30:00.000 GMT+0330,03.11.2014,85.843,86.379,83.985,84.157,39.5093
04.11.2014 01:30:00.000 GMT+0330,04.11.2014,84.139,84.4,82.059,82.786,22.1502
05.11.2014 01:30:00.000 GMT+0330,05.11.2014,82.789,84.43,81.609,83.24,9.8262
06.11.2014 01:30:00.000 GMT+0330,06.11.2014,83.227,83.29,82.039,82.778,27.9538
07.11.2014 01:30:00.000 GMT+0330,07.11.2014,82.789,83.83,82.135,83.073,44.9828
08.11.2014 01:30:00.000 GMT+0330,08.11.2014,83.073,83.073,83.073,83.073,0
09.11.2014 01:30:00.000 GMT+0330,09.11.2014,83.073,83.073,83.073,83.073,0
10.11.2014 01:30:00.000 GMT+0330,10.11.2014,83.233,84.93,81.966,82.017,32.3612
11.11.2014 01:30:00.000 GMT+0330,11.11.2014,82.005,82.319,80.456,81.199,20.4521
12.11.2014 01:30:00.000 GMT+0330,12.11.2014,81.21,81.636,80.237,80.237,9.4855
13.11.2014 01:30:00.000 GMT+0330,13.11.2014,80.699,80.997,77.302,77.586,13.7049
14.11.2014 01:30:00.000 GMT+0330,14.11.2014,77.609,79.72,76.748,79.555,23.2191
15.11.2014 01:30:00.000 GMT+0330,15.11.2014,79.555,79.555,79.555,79.555,0
16.11.2014 01:30:00.000 GMT+0330,16.11.2014,79.555,79.555,79.555,79.555,0
17.11.2014 01:30:00.000 GMT+0330,17.11.2014,79.527,79.57,77.915,79.067,9.6823
18.11.2014 01:30:00.000 GMT+0330,18.11.2014,79.058,79.91,78.198,78.419,16.822
19.11.2014 01:30:00.000 GMT+0330,19.11.2014,78.408,79.42,78.025,78.167,27.0248
20.11.2014 01:30:00.000 GMT+0330,20.11.2014,78.16,79.91,77.529,79.91,5.789
21.11.2014 01:30:00.000 GMT+0330,21.11.2014,79.896,81.587,79.046,80.456,31.0392
22.11.2014 01:30:00.000 GMT+0330,22.11.2014,80.456,80.456,80.456,80.456,0
23.11.2014 01:30:00.000 GMT+0330,23.11.2014,80.456,80.456,80.456,80.456,0
24.11.2014 01:30:00.000 GMT+0330,24.11.2014,80.455,80.82,79.405,79.495,20.6666
25.11.2014 01:30:00.000 GMT+0330,25.11.2014,79.509,80.42,78.02,78.157,20.5995
26.11.2014 01:30:00.000 GMT+0330,26.11.2014,78.149,78.828,77.286,77.547,6.4271
27.11.2014 01:30:00.000 GMT+0330,27.11.2014,77.549,77.549,71.225,72.868,18.8052
28.11.2014 01:30:00.000 GMT+0330,28.11.2014,72.319,73.379,69.788,69.997,30.6434
29.11.2014 01:30:00.000 GMT+0330,29.11.2014,69.997,69.997,69.997,69.997,0
30.11.2014 01:30:00.000 GMT+0330,30.11.2014,69.997,69.997,69.997,69.997,0
01.12.2014 01:30:00.000 GMT+0330,01.12.2014,70.086,72.999,67.527,72.808,57.6615
