Date,Close
12/8/2019,66371
12/7/2019,65314
12/4/2019,63894
12/3/2019,63344
12/2/2019,63425
12/1/2019,62958
11/30/2019,63015
11/27/2019,64015
11/26/2019,63495
11/25/2019,63091
11/24/2019,63708
11/23/2019,64547
11/20/2019,65845
11/19/2019,66305
11/18/2019,65317
11/17/2019,64705
11/16/2019,65347
11/13/2019,65119
11/12/2019,64973
11/11/2019,64925
11/10/2019,65068
11/9/2019,65217
11/5/2019,64980
11/4/2019,64919
11/3/2019,65154
11/2/2019,65530
10/30/2019,66197
10/28/2019,65733
10/26/2019,64898
10/23/2019,65968
10/22/2019,66758
10/21/2019,68895
10/20/2019,66997
10/16/2019,69200
10/15/2019,68370
10/14/2019,69564
10/13/2019,72123
10/12/2019,70760
10/9/2019,69287
10/8/2019,67862
10/7/2019,69641
10/6/2019,68792
10/5/2019,69255
10/2/2019,69688
10/1/2019,70583
9/30/2019,71151
9/29/2019,70554
9/28/2019,74168
9/25/2019,77675
9/24/2019,76968
9/23/2019,75396
9/22/2019,72116
9/21/2019,68799
9/18/2019,66186
9/17/2019,66614
9/16/2019,67539
9/15/2019,66895
9/14/2019,67625
9/11/2019,67983
9/8/2019,67072
9/7/2019,67782
9/4/2019,67113
9/3/2019,65287
9/2/2019,65280
9/1/2019,65358
8/31/2019,65501
8/28/2019,65270
8/27/2019,65515
8/26/2019,62420
8/25/2019,60793
8/24/2019,60949
8/21/2019,61130
8/19/2019,60944
8/18/2019,61344
8/17/2019,61763
8/14/2019,62190
8/13/2019,61485
8/11/2019,61636
8/10/2019,61572
8/7/2019,60885
8/6/2019,60382
8/5/2019,61244
8/4/2019,61150
8/3/2019,62458
7/31/2019,64081
7/30/2019,64060
7/29/2019,63121
7/28/2019,63656
7/27/2019,65216
7/24/2019,67243
7/23/2019,65183
7/22/2019,64455
7/21/2019,61387
7/20/2019,58546
7/17/2019,57323
7/16/2019,54815
7/15/2019,56785
7/14/2019,55713
7/13/2019,53189
7/10/2019,52095
7/9/2019,51941
7/8/2019,52278
7/7/2019,51907
7/6/2019,51728
7/3/2019,52784
7/2/2019,52540
7/1/2019,53299
6/30/2019,53113
6/26/2019,52407
6/25/2019,53042
6/24/2019,51551
6/23/2019,49689
6/22/2019,48867
6/19/2019,49800
6/18/2019,50806
6/17/2019,50183
6/16/2019,48360
6/15/2019,46153
6/12/2019,45979
6/11/2019,46060
6/10/2019,45929
6/9/2019,46287
6/8/2019,46184
6/3/2019,47125
6/2/2019,47101
6/1/2019,47066
5/29/2019,48815
5/28/2019,48131
5/26/2019,46880
5/25/2019,46680
5/22/2019,47772
5/21/2019,48252
5/20/2019,48844
5/19/2019,48516
5/18/2019,48516
5/15/2019,48516
5/14/2019,50297
5/13/2019,48654
5/12/2019,46340
5/11/2019,63362
5/8/2019,63362
5/7/2019,63362
5/6/2019,63362
5/5/2019,63362
5/4/2019,63362
5/1/2019,63362
4/30/2019,63362
4/29/2019,63362
4/28/2019,63362
4/27/2019,63362
4/24/2019,63362
4/23/2019,63362
4/22/2019,63362
4/20/2019,63534
4/17/2019,62323
4/16/2019,62190
4/15/2019,63028
4/14/2019,61819
4/13/2019,62169
4/10/2019,61978
4/9/2019,61174
4/8/2019,60995
4/7/2019,61509
4/6/2019,61130
3/31/2019,60688
3/30/2019,62884
3/27/2019,61381
3/26/2019,59939
3/25/2019,61060
3/19/2019,61344
3/18/2019,58962
3/17/2019,56510
3/16/2019,54280
3/13/2019,53222
3/12/2019,53192
3/11/2019,53754
3/10/2019,52999
3/9/2019,52519
3/6/2019,52084
3/5/2019,51170
3/4/2019,51748
3/3/2019,51839
3/2/2019,52148
2/27/2019,52733
2/26/2019,52263
2/25/2019,53911
2/24/2019,54427
2/23/2019,54386
2/20/2019,52124
2/19/2019,50566
2/18/2019,49744
2/17/2019,49987
2/16/2019,50170
2/13/2019,49785
2/12/2019,49871
2/10/2019,50040
2/6/2019,50323
2/5/2019,49738
2/4/2019,50107
2/3/2019,50248
2/2/2019,51751
1/30/2019,50785
1/29/2019,50941
1/28/2019,49116
1/27/2019,50229
1/26/2019,52702
1/23/2019,53682
1/22/2019,54151
1/21/2019,53290
1/20/2019,53650
1/19/2019,54180
1/16/2019,52460
1/15/2019,51839
1/14/2019,51228
1/13/2019,50905
1/12/2019,52248
1/9/2019,51727
1/8/2019,50769
1/7/2019,48602
1/6/2019,47705
1/5/2019,47894
1/2/2019,46755
1/1/2019,47258
12/31/2018,47511
12/30/2018,47900
12/29/2018,46850
12/26/2018,44755
12/25/2018,42971
12/24/2018,43138
12/23/2018,42846
12/22/2018,41117
12/19/2018,42093
12/18/2018,43591
12/17/2018,44362
12/16/2018,44413
12/15/2018,44176
12/12/2018,44086
12/11/2018,45701
12/10/2018,45701
12/9/2018,45822
12/8/2018,46984
12/5/2018,46763
12/4/2018,47180
12/3/2018,48088
12/2/2018,46540
12/1/2018,45542
11/28/2018,47912
11/27/2018,49776
11/26/2018,48641
11/24/2018,51168
11/21/2018,53861
11/20/2018,56115
11/19/2018,56577
11/18/2018,54928
11/17/2018,55924
11/14/2018,58218
11/13/2018,61142
11/12/2018,60937
11/11/2018,60685
11/10/2018,63763
11/6/2018,66793
11/5/2018,67611
11/4/2018,65992
11/3/2018,67292
10/31/2018,68096
10/29/2018,70233
10/28/2018,71068
10/27/2018,70622
10/24/2018,74000
10/23/2018,73916
10/22/2018,71205
10/21/2018,70679
10/20/2018,71241
10/17/2018,68426
10/16/2018,68514
10/15/2018,66673
10/14/2018,63528
10/13/2018,61537
10/10/2018,62291
10/9/2018,62046
10/8/2018,59243
10/7/2018,57733
10/6/2018,60529
10/3/2018,59659
10/2/2018,60089
10/1/2018,63246
9/30/2018,66400
9/29/2018,63420
9/26/2018,61439
9/25/2018,59100
9/24/2018,56720
9/23/2018,56099
9/22/2018,55037
9/18/2018,54603
9/17/2018,55113
9/16/2018,54907
9/15/2018,57185
9/12/2018,55605
9/11/2018,53627
9/10/2018,54046
9/9/2018,54046
9/8/2018,53652
9/5/2018,52936
9/4/2018,53048
9/3/2018,50545
9/2/2018,49363
9/1/2018,51289
8/29/2018,52126
8/28/2018,52286
8/27/2018,53607
8/26/2018,53690
8/25/2018,52763
8/21/2018,54700
8/20/2018,55617
8/19/2018,55632
8/18/2018,53709
8/15/2018,53763
8/14/2018,53311
8/13/2018,51553
8/12/2018,52173
8/11/2018,50812
8/8/2018,52111
8/7/2018,55092
8/6/2018,55092
8/5/2018,52469
8/4/2018,49974
8/1/2018,48930
7/31/2018,45939
7/30/2018,43752
7/29/2018,41674
7/28/2018,39722
7/27/2018,37831
7/26/2018,37831
7/25/2018,37831
7/24/2018,36868
7/23/2018,36739
7/22/2018,36626
7/21/2018,36414
7/18/2018,36363
7/17/2018,35554
7/16/2018,35841
7/15/2018,36170
7/14/2018,36965
7/11/2018,36926
7/10/2018,37531
7/8/2018,37090
7/7/2018,37582
7/4/2018,39327
7/3/2018,38183
7/2/2018,36420
7/1/2018,34886
6/30/2018,36250
6/27/2018,36703
6/26/2018,38145
6/25/2018,38799
6/24/2018,37128
6/23/2018,36144
6/20/2018,36365
6/19/2018,35106
6/18/2018,34199
6/17/2018,32571
6/13/2018,31020
6/12/2018,29618
6/11/2018,29253
6/10/2018,29382
6/9/2018,29836
6/3/2018,30239
6/2/2018,30426
5/30/2018,29549
5/29/2018,28681
5/28/2018,29304
5/27/2018,29696
5/26/2018,30718
5/23/2018,31192
5/22/2018,29824
5/21/2018,29230
5/20/2018,28924
5/19/2018,28970
5/16/2018,35742
5/15/2018,35742
5/14/2018,35742
5/13/2018,35742
5/12/2018,34973
5/9/2018,34956
5/8/2018,35571
5/7/2018,35773
5/6/2018,34482
5/5/2018,32941
5/1/2018,32775
4/30/2018,32826
4/29/2018,32837
4/28/2018,32807
4/25/2018,32732
4/24/2018,32685
4/23/2018,32551
4/22/2018,32688
4/21/2018,32922
4/18/2018,33374
4/17/2018,33312
4/16/2018,32950
4/15/2018,33195
4/11/2018,33747
4/10/2018,35134
4/9/2018,36946
4/8/2018,36139
4/7/2018,36309
4/4/2018,36641
4/3/2018,36810
3/28/2018,36866
3/27/2018,37265
3/26/2018,36396
3/25/2018,35992
