date,Close gas
30/11/2014,4.166
1/12/2014,3.9976
2/12/2014,3.8584
3/12/2014,3.7828
4/12/2014,3.6467
5/12/2014,3.7875
6/12/2014,3.7875
7/12/2014,3.7875
8/12/2014,3.6014
9/12/2014,3.6399
10/12/2014,3.7116
11/12/2014,3.646
12/12/2014,3.7734
13/12/2014,3.7734
14/12/2014,3.7734
15/12/2014,3.7318
16/12/2014,3.6201
17/12/2014,3.6847
18/12/2014,3.661
19/12/2014,3.4452
20/12/2014,3.4452
21/12/2014,3.4452
22/12/2014,3.1599
23/12/2014,3.1627
24/12/2014,3.0771
25/12/2014,3.0771
26/12/2014,3.0771
27/12/2014,3.0771
28/12/2014,3.0771
29/12/2014,3.1711
30/12/2014,3.0927
31/12/2014,2.9347
1/1/2015,2.9347
2/1/2015,2.9462
3/1/2015,2.9462
4/1/2015,2.9462
5/1/2015,2.9117
6/1/2015,2.9399
7/1/2015,2.8787
8/1/2015,2.9613
9/1/2015,2.9605
10/1/2015,2.9605
11/1/2015,2.9605
12/1/2015,2.8116
13/01/2015,2.9543
14/01/2015,3.3066
15/01/2015,3.1824
16/01/2015,3.0856
17/01/2015,3.0856
18/01/2015,3.0856
19/01/2015,2.9883
20/01/2015,2.8927
21/01/2015,2.9884
22/01/2015,2.8471
23/01/2015,2.9689
24/01/2015,2.9689
25/01/2015,2.9689
26/01/2015,2.878
27/01/2015,2.916
28/01/2015,2.848
29/01/2015,2.723
30/01/2015,2.666
31/01/2015,2.666
1/2/2015,2.666
2/2/2015,2.6695
3/2/2015,2.7562
4/2/2015,2.6648
5/2/2015,2.5902
6/2/2015,2.5677
7/2/2015,2.5677
8/2/2015,2.5677
9/2/2015,2.6106
10/2/2015,2.6859
11/2/2015,2.82
12/2/2015,2.7148
13/02/2015,2.7943
14/02/2015,2.7943
15/02/2015,2.7943
16/02/2015,2.8876
17/02/2015,2.7716
18/02/2015,2.8157
19/02/2015,2.8185
20/02/2015,2.9395
21/02/2015,2.9395
22/02/2015,2.9395
23/02/2015,2.861
24/02/2015,2.918
25/02/2015,2.865
26/02/2015,2.694
27/02/2015,2.705
28/02/2015,2.705
1/3/2015,2.705
2/3/2015,2.6661
3/3/2015,2.7077
4/3/2015,2.7701
5/3/2015,2.8251
6/3/2015,2.8449
7/3/2015,2.8449
8/3/2015,2.8449
9/3/2015,2.6894
10/3/2015,2.7261
11/3/2015,2.8199
12/3/2015,2.7409
13/03/2015,2.7209
14/03/2015,2.7209
15/03/2015,2.7209
16/03/2015,2.7408
17/03/2015,2.8411
18/03/2015,2.8973
19/03/2015,2.821
20/03/2015,2.7844
21/03/2015,2.7844
22/03/2015,2.7844
23/03/2015,2.7459
24/03/2015,2.7778
25/03/2015,2.7223
26/03/2015,2.6589
27/03/2015,2.6512
28/03/2015,2.6512
29/03/2015,2.6512
30/03/2015,2.6322
31/03/2015,2.6381
1/4/2015,2.5964
2/4/2015,2.6944
3/4/2015,2.6956
4/4/2015,2.6956
5/4/2015,2.6956
6/4/2015,2.6512
7/4/2015,2.6575
8/4/2015,2.6198
9/4/2015,2.536
10/4/2015,2.5054
11/4/2015,2.5054
12/4/2015,2.5054
13/04/2015,2.5039
14/04/2015,2.5206
15/04/2015,2.5936
16/04/2015,2.6746
17/04/2015,2.6343
18/04/2015,2.6343
19/04/2015,2.6343
20/04/2015,2.5382
21/04/2015,2.5684
22/04/2015,2.591
23/04/2015,2.5391
24/04/2015,2.526
25/04/2015,2.526
26/04/2015,2.526
27/04/2015,2.4788
28/04/2015,2.5239
29/04/2015,2.5821
30/04/2015,2.7236
1/5/2015,2.7704
2/5/2015,2.7704
3/5/2015,2.7704
4/5/2015,2.8027
5/5/2015,2.7791
6/5/2015,2.7723
7/5/2015,2.7347
8/5/2015,2.8658
9/5/2015,2.8658
10/5/2015,2.8658
11/5/2015,2.8043
12/5/2015,2.8833
13/05/2015,2.9304
14/05/2015,3.0027
15/05/2015,3.009
16/05/2015,3.009
17/05/2015,3.009
