date,adj
20080203,731.02
20080204,745.64
20080205,760.37
20080206,775.42
20080209,790.91
20080210,799.47
20080212,783.55
20080213,769.47
20080216,773.26
20080217,771.09
20080218,780.3
20080219,795.68
20080220,798.71
20080223,810.08
20080224,804.02
20080225,799.47
20080226,800.01
20080227,794.05
20080301,778.24
20080302,773.48
20080303,784.09
20080304,784.74
20080305,783.76
20080309,768.93
20080310,759.83
20080311,758.31
20080312,772.72
20080315,775.75
20080316,782.9
20080317,791.67
20080421,749.43
20080422,738.06
20080423,747.92
20080426,752.14
20080427,753.01
20080428,766.22
20080429,760.59
20080430,758.96
20080503,755.61
20080504,753.12
20080505,753.44
20080506,753.98
20080507,755.17
20080510,753.22
20080511,753.87
20080512,763.3
20080513,761.24
20080514,758.96
20080517,749.43
20080518,746.4
20080519,744.88
20080520,746.51
20080521,763.73
20080524,766.76
20080525,766
20080526,783.98
20080527,794.92
20080528,801.96
20080531,789.29
20080601,780.95
20080602,793.08
20080608,797.08
20080609,815.82
20080610,840.19
20080611,846.69
20080614,872.03
20080615,894.12
20080616,895.1
20080617,896.5
20080618,902.24
20080621,914.7
20080622,942.1
20080623,970.26
20080624,942.96
20080625,956.29
20080628,967.98
20080629,974.7
20080630,998.85
20080701,1028.3
20080702,1036.21
20080705,1065.34
20080706,1079.64
20080707,1092.85
20080708,1103.36
20080709,1078.88
20080712,731.02
20080720,971.34
20080721,943.18
20080722,964.3
20080723,974.59
20080726,962.46
20080727,938.31
20080728,920.65
20080729,935.38
20080802,907.33
20080803,886.87
20080804,883.94
20080805,888.16
20080806,878.31
20080809,875.82
20080810,875.49
20080811,861.96
20080812,848.42
20080813,848.96
20080816,852.32
20080818,855.35
20080819,864.23
20080820,879.83
20080823,886.76
20080824,895.85
20080825,909.82
20080826,917.19
20080827,917.62
20080830,914.59
20080831,914.59
20080901,887.62
20080902,894.34
20080903,912.1
20080906,910.91
20080907,902.03
20080908,891.63
20080909,865.21
20080910,839.32
20080913,834.66
20080914,833.8
20080915,834.12
20080916,832.72
20080917,830.44
20080920,823.62
20080921,812.36
20080923,827.95
20080924,829.47
20080927,828.49
20080928,826.43
20080929,826.33
20080930,825.78
20081004,824.05
20081005,823.62
20081006,821.67
20081007,821.67
20081008,815.17
20081012,815.06
20081013,814.74
20081014,814.3
20081015,813.65
20081019,789.29
20081020,789.29
20081021,765.68
20081022,742.72
20081026,720.52
20081027,698.97
20081028,678.06
20081029,662.47
20081101,661.6
20081102,661.6
20081104,655.86
20081105,637.02
20081108,617.96
20081109,602.36
20081110,601.06
20081111,600.63
20081112,599.55
20081115,594.56
20081116,588.39
20081117,583.63
20081118,579.19
20081119,577.24
20081122,575.4
20081123,558.18
20081124,556.12
20081125,543.12
20081126,526.88
20081129,526.55
20081130,510.85
20081201,495.58
20081202,480.74
20081203,466.34
20081206,452.48
20081207,440.56
20081208,440.56
20081210,440.56
20081213,440.56
20081214,440.56
20081215,440.56
20081216,440.56
20081220,440.56
20081221,440.56
20081222,440.56
20081223,440.56
20081224,440.56
20081227,440.56
20081228,440.56
20081229,440.56
20081230,440.56
20081231,440.56
20090103,440.56
20090104,440.56
20090105,440.56
20090110,440.56
20090111,440.56
20090112,440.56
20090113,440.56
20090114,440.56
20090117,440.56
20090118,440.56
20090119,440.56
20090120,440.56
20090121,440.56
20090124,440.56
20090125,440.56
20090126,440.56
20090127,440.56
20090128,440.56
20090131,440.56
20090201,440.56
20090202,440.56
20090203,429.95
20090204,429.73
20090207,429.52
20090208,429.52
20090209,429.52
20090211,429.52
20090214,428.54
20090215,428.54
20090217,428.43
20090218,428.43
20090221,428.43
20090222,428.43
20090223,428.43
20090225,428.43
20090228,428.43
20090301,428.43
20090302,428.43
20090303,428.43
20090304,428.43
20090307,258.08
20090308,252.66
20090309,253.31
20090310,253.31
20090311,253.31
20090314,253.42
20090316,253.42
20090317,253.42
20090318,253.42
20090325,253.42
20090328,253.42
20090329,253.42
20090330,261
20090331,261
20090404,268.8
20090405,276.81
20090406,285.04
20090407,293.49
20090408,302.26
20090411,302.26
20090412,311.25
20090413,320.57
20090414,330.1
20090415,339.95
20090418,339.95
20090419,350.13
20090420,360.53
20090421,360.53
20090422,360.64
20090425,371.36
20090426,382.41
20090427,393.78
20090428,405.58
20090429,417.71
20090502,429.41
20090503,442.19
20090504,448.79
20090505,449.12
20090506,449.23
20090509,449.23
20090510,449.23
20090511,450.31
20090512,450.31
20090513,450.31
20090516,450.42
20090517,450.85
20090518,451.18
20090519,464.28
20090520,464.61
20090523,464.61
20090524,464.61
20090525,464.61
20090526,464.61
20090527,464.61
20090530,464.61
20090531,464.61
20090601,464.61
20090602,464.61
20090603,464.61
20090606,464.61
20090607,464.61
20090608,464.61
20090609,464.61
20090610,464.61
20090613,464.61
20090614,464.61
20090615,464.61
20090616,464.61
20090617,464.61
20090620,464.61
20090621,464.61
20090622,464.61
20090623,464.61
20090624,464.61
20090627,464.61
20090628,464.61
20090629,464.61
20090630,464.61
20090701,464.61
20090704,464.61
20090705,464.61
20090707,464.61
20090711,464.61
20090712,462.01
20090713,448.25
20090714,448.25
20090715,448.25
20090718,448.25
20090719,448.25
20090721,448.25
20090722,448.25
20090725,448.25
20090726,448.25
20090727,448.25
20090728,448.25
20090729,448.25
20090801,448.25
20090802,448.25
20090803,448.25
20090804,517.59
20090805,522.71
20090808,522.85
20090809,522.98
20090810,524.51
20090811,524.64
20090812,524.64
20090815,524.64
20090816,525.06
20090817,525.06
20090818,525.06
20090819,525.06
20090822,540.7
20090823,540.7
20090824,556.89
20090825,557.44
20090826,557.44
20090829,574.05
20090830,591.21
20090831,608.93
20090901,626.78
20090902,641.86
20090905,659.58
20090906,678.26
20090907,681.03
20090908,684.76
20090909,694.87
20090912,694.87
20090913,698.46
20090914,695.7
20090915,689.88
20090916,687.53
20090919,679.09
20090920,679.09
20090921,677.29
20090922,676.46
20090923,678.26
20090926,679.51
20090927,678.81
20090928,678.67
20090929,678.54
20090930,677.57
20091003,684.63
20091004,695.84
20091005,697.77
20091006,697.63
20091007,697.91
20091010,698.6
20091011,698.33
20091012,696.67
20091013,698.88
20091017,701.65
20091018,721.16
20091019,721.71
20091020,720.88
20091021,720.88
20091024,720.88
20091025,720.88
20091026,720.88
20091027,720.88
20091028,720.88
20091031,720.88
20091101,720.88
20091102,720.88
20091103,720.88
20091104,720.88
20091107,720.88
20091108,720.88
20091109,720.88
20091110,720.88
20091111,720.88
20091114,720.88
20091115,720.88
20091116,720.88
20091117,720.88
20091118,720.88
20091121,720.88
20091122,720.88
20091123,720.88
20091124,720.88
20091125,720.88
20091129,720.88
20091130,614.32
20091201,614.6
20091202,624.56
20091205,625.53
20091207,627.19
20091208,627.33
20091209,624.29
20091212,622.9
20091213,622.76
20091214,622.76
20091215,622.76
20091216,622.63
20091219,622.63
20091220,615.15
20091221,608.09
20091222,604.36
20091223,603.8
20091228,603.53
20091229,601.59
20091230,597.3
20100102,597.3
20100103,597.58
20100104,597.02
20100105,597.16
20100106,603.8
20100109,624.29
20100110,645.32
20100111,654.32
20100112,673.14
20100113,672.03
20100116,673.83
20100117,676.05
20100118,682.27
20100119,706.08
20100120,706.21
20100123,715.9
20100124,715.9
20100125,715.9
20100126,715.9
20100127,715.9
20100130,715.9
20100131,715.9
20100201,715.9
20100202,715.9
20100203,715.9
20100206,715.9
20100207,715.9
20100208,715.9
20100209,715.9
20100210,715.9
20100214,715.9
20100216,715.9
20100217,715.9
20100220,715.9
20100221,715.9
20100222,715.9
20100223,715.9
20100224,715.9
20100227,715.9
20100228,715.9
20100301,715.9
20100302,715.9
20100303,715.9
20100306,715.9
20100307,715.9
20100308,715.9
20100309,715.9
20100310,715.9
20100313,715.9
20100314,715.9
20100315,710.23
20100316,707.6
20100317,710.92
20100327,729.05
20100328,729.33
20100329,731.13
20100330,732.23
20100331,732.65
20100403,737.91
20100404,763.65
20100405,780.39
20100406,806.83
20100407,810.98
20100410,803.23
20100411,798.11
20100412,780.53
20100413,768.08
20100414,767.8
20100417,764.2
20100418,752.16
20100419,752.58
20100420,749.12
20100421,747.87
20100424,730.99
20100425,729.74
20100426,728.22
20100427,728.22
20100428,727.8
20100501,727.8
20100502,727.53
20100503,727.25
20100504,726.84
20100505,725.73
20100508,720.61
20100509,720.61
20100510,714.66
20100511,712.86
20100512,712.3
20100515,711.34
20100516,711.34
20100518,711.34
20100519,709.95
20100522,709.95
20100523,706.21
20100524,705.8
20100525,705.25
20100526,703.86
20100529,701.51
20100530,700.82
20100531,699.71
20100601,699.57
20100602,699.3
20100606,698.88
20100607,698.88
20100608,696.53
20100609,696.53
20100612,696.25
20100613,695.84
20100614,694.17
20100615,691.96
20100616,691.96
20100619,691.96
20100620,692.24
20100621,692.24
20100622,692.24
20100623,692.38
20100627,692.51
20100628,692.51
20100629,693.48
20100630,693.62
20100703,696.53
20100704,696.67
20100705,698.46
20100706,705.66
20100707,705.66
20100711,705.66
20100712,733.75
20100713,733.75
20100714,733.75
20100717,733.75
20100718,733.75
20100719,792.27
20100720,791.13
20100721,783.14
20100724,806.61
20100725,837.41
20100726,836.76
20100728,836.11
20100731,836.11
20100801,834.64
20100802,833.66
20100803,832.36
20100804,831.71
20100807,830.73
20100808,831.06
20100809,831.38
20100810,831.38
20100811,838.88
20100814,838.55
20100815,838.23
20100816,836.27
20100817,836.43
20100818,836.43
20100821,836.27
20100822,836.11
20100823,836.11
20100824,835.78
20100825,832.36
20100828,829.59
20100829,829.59
20100830,829.59
20100831,829.75
20100904,829.92
20100905,831.22
20100906,833.01
20100907,838.23
20100908,838.72
20100912,843.61
20100913,877.34
20100914,879.63
20100915,879.46
20100918,875.55
20100919,867.4
20100920,847.03
